timestamp,oi_btc,sum_open_interest_value,close,oi_delta_abs,oi_delta_pct,price_change,price_direction,oi_delta_zscore,oi_delta_value,oi_delta_signal,oi_delta_score
1690232100000,112084.682,3265250956.024,29132.0,,,,DOWN,,,NEUTRAL,0
1690232400000,112094.124,3266225754.314271,29138.24237847,9.44199999999546,0.008423987855898929,6.2423784700004035,UP,,,NEUTRAL,0
1690232700000,111980.293,3262411460.2034,29133.8,-113.83099999999104,-0.10154947997095265,-4.442378470001131,DOWN,,,NEUTRAL,0
1690233000000,111983.954,3262911378.592634,29137.31174908,3.6609999999927823,0.003269325255295108,3.5117490800002997,UP,,,NEUTRAL,0
1690233300000,112103.404,3264630489.9264,29121.600000000002,119.44999999999709,0.10666706767650247,-15.71174907999739,DOWN,,,NEUTRAL,0
1690233600000,112039.651,3264313048.5499744,29135.337529300003,-63.75299999999697,-0.056869816370608284,13.73752930000046,UP,,,NEUTRAL,0
1690233900000,111891.824,3262231222.4084496,29155.2242674,-147.82700000000477,-0.1319416819675734,19.886738099998183,UP,,,NEUTRAL,0
1690234200000,111834.164,3260076848.766086,29150.99225641,-57.65999999998894,-0.05153191532563106,-4.232010989999253,DOWN,,,NEUTRAL,0
1690234500000,111782.434,3257836483.965281,29144.440386449995,-51.73000000001048,-0.046255990253574186,-6.551869960007025,DOWN,,,NEUTRAL,0
1690234800000,111621.346,3256013062.775122,29170.164842619994,-161.08799999998882,-0.14410850992919721,25.72445616999903,UP,,,NEUTRAL,0
1690235100000,111582.206,3253737126.96,29160.0,-39.13999999999942,-0.035064977625332006,-10.164842619993578,DOWN,,,NEUTRAL,0
1690235400000,111560.333,3250723075.1871,29138.7,-21.87300000000687,-0.019602587889333556,-21.299999999999272,DOWN,,,NEUTRAL,0
1690235700000,111606.352,3253860871.2896,29154.8,46.01900000000023,0.041250325059527526,16.099999999998545,UP,,,NEUTRAL,0
1690236000000,111600.215,3254117634.149793,29158.70398771,-6.137000000002445,-0.005498790964875155,3.903987710000365,UP,,,NEUTRAL,0
1690236300000,111650.19,3256746851.997171,29169.201162999998,49.97500000000582,0.04478037967938775,10.497175289998268,UP,,,NEUTRAL,0
1690236600000,111689.863,3257568882.2306,29166.2,39.67299999999523,0.035533302719858995,-3.0011629999971774,DOWN,,,NEUTRAL,0
1690236900000,111724.553,3259762052.981006,29176.77417766,34.69000000000233,0.03105921976107595,10.574177660000714,UP,,,NEUTRAL,0
1690237200000,111747.592,3257866947.6496,29153.8,23.039000000004307,0.020621250550001413,-22.97417766000217,DOWN,,,NEUTRAL,0
1690237500000,111766.08,3258372413.28,29153.5,18.487999999997555,0.01654442808933787,-0.2999999999992724,DOWN,,,NEUTRAL,0
1690237800000,111700.345,3255834446.8873405,29147.93545971,-65.73500000000058,-0.058814803203266486,-5.564540290000878,DOWN,,,NEUTRAL,0
1690238100000,111722.464,3257301954.6592,29155.3,22.119000000006054,0.019802087451026296,7.36454029000015,UP,,,NEUTRAL,0
